"Carimbo de data/hora","Qual é o seu Curso?","Selecione para qual disciplina você vai responder o questionário ","Selecione para qual disciplina você vai responder o questionário","Selecione para qual disciplina você vai responder o questionário ","Selecione para qual disciplina você vai responder o questionário ","Selecione para qual disciplina você vai responder o questionário ","Selecione para qual disciplina você vai responder o questionário ","1)      Organizei meus estudos com base no plano de ensino (programação) da(o) disciplina/tema/módulo ","2)      Mantive um relacionamento cordial com o(a) professor (a) coordenador (a) da disciplina ","3)      Mantive um relacionamento cordial com o (a) tutor (a) presencial ","4)      Mantive um relacionamento cordial com o (a) tutor (a) a distância","5)      Mantive um relacionamento cordial com o (a) coordenador (a) do polo","6)      Frequentei as atividades presenciais conforme programado","7)      Participei das atividades a distância conforme programado","8)      Compreendi os conteúdos ministrados na(o) disciplina/tema/módulo ","9)      Estive motivado/a ao longo da oferta da(o) disciplina/tema/módulo","10)      Aprofundei meus conhecimentos, de maneira autônoma, consultando outras fontes","11)      Realizei as atividades da disciplina/tema/módulo, atendendo aos prazos estabelecidos ","12)      Realizei as atividades da disciplina/tema/módulo observando os critérios estabelecidos ","13)      Dediquei horas de estudo à disciplina ao longo da semana ","14) O(A) professor(a)/coordenador(a) da(o) disciplina/tema/módulo mostrou-se disponível para me atender e orientar ","15)      O(A) professor(a)/coordenador(a) da(o) disciplina/tema/módulo me tratou com ética e respeito","16)      O(A) tutor(a) presencial mostrou-se disponível para me atender e orientar ","17)      O(A) tutor(a) presencial me tratou com ética e respeito ","18)      O(A) tutor(a) a distância mostrou-se disponível para me atender e orientar","19)      O(A) tutor(a) a distância me tratou com ética e respeito","20)      Tive acesso ao plano de ensino (programação) da(o) disciplina/tema/módulo ","21)      O plano de ensino (programação) da(o) disciplina/tema/módulo foi cumprido","22)      As atividades de tutoria realizadas contemplaram as necessidades da turma","23)      As atividades de tutoria foram executadas conforme o planejado","24)      Os conteúdos da(o) disciplina/tema/módulo foram ministrados com clareza e objetividade","25)      Os conceitos/conteúdos foram apresentados de forma contextualizada","26)      Fui estimulado a desenvolver o pensamento crítico","27)      Foram utilizados recursos diversos (vídeos, materiais complementares, webconferências, etc.) durante a oferta da(o) disciplina/tema/módulo","28) Esta disciplina contribuiu com minha formação cidadã e profissional ","29)      A interação com professores e colegas foi favorecida/estimulada","30)      O material didático fornecido para estudo da(o) disciplina/tema/módulo foi adequado","31)      O processo avaliativo da(o) disciplina/tema/módulo foi explicado aos discentes de forma clara e objetiva","32)      A avaliação da aprendizagem foi realizada com critérios bem definidos","33)      A avaliação da aprendizagem foi realizada de acordo com os conteúdos trabalhados","34)      Foram utilizados diferentes instrumentos/estratégias de avaliação (provas, seminários, produção textual, etc.)","35)      Os(As) instrumentos/estratégias de avaliação foram adequados(as), acessíveis aos discentes e os prazos/tempo foram suficientes","36)      As salas reservadas às atividades presenciais e seu mobiliário estavam em condições adequadas de uso","37)      A infraestrutura das bibliotecas atendeu adequadamente às necessidades discentes (sala de estudos, acervo, atendimento, etc.)","38)      Os recursos audiovisuais atenderam às necessidades do ensino no âmbito da(o) disciplina/tema/módulo","39)      O ambiente virtual de aprendizagem utilizado (Moodle/SIGAA) atendeu às necessidades dos discentes","40)      Os recursos de informática dos laboratórios, nos polos, atenderam às necessidades discentes","41)      O laboratório de atividades práticas estava adequado às atividades desenvolvidas","42)      As instalações físicas do polo (banheiros, espaços de convivência, espaço para alimentação, etc.) atendem às necessidades dos discentes","43) A acessibilidade nos espaços utilizados, incluindo o ambiente virtual, é adequada","Comentários Gerais (máximo 600 caracteres)","Sugestões de Melhoria (Máximo 600 caracteres)"
"2023/11/08 3:39:24 PM GMT-3","BIBLIOTECONOMIA","","","","","EDUCACAO DE USUARIOS","","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","5","4","4","",""
"2023/11/08 3:39:31 PM GMT-3","BIBLIOTECONOMIA","","","","","EDUCACAO DE USUARIOS","","3","3","4","4","3","1","2","4","3","3","1","2","2","3","4","5","5","4","5","4","4","3","3","3","4","4","4","4","3","3","4","4","4","4","4","3","3","3","3","3","4","4","3","",""
"2023/11/08 3:44:18 PM GMT-3","BIBLIOTECONOMIA","","","","","EDUCACAO DE USUARIOS","","3","4","4","4","4","3","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","",""
"2023/11/08 3:45:11 PM GMT-3","FÍSICA","","","","","","ESTRUTURA E FUNCION. DA EDUC. BASICA","4","3","4","4","3","4","3","3","3","3","3","3","3","3","3","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2","4","1","1","2","3","",""
"2023/11/08 4:01:51 PM GMT-3","CIÊNCIAS BIOLÓGICAS","ANIMAIS PROTOSTÔMIOS ECDISOZOÁRIOS","","","","","","3","4","4","5","3","4","4","3","4","3","4","4","3","4","4","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","4","3","3","3","4","1","2","3","3","Agradeço aos professores e as tutoras que sempre estão sendo prestativos.","Precisamos de melhoria no nosso laboratório do polo, pois apenas 5 microscópio funcionando."
"2023/11/08 4:02:06 PM GMT-3","BIBLIOTECONOMIA","","","","","PLANEJAMENTO DE AMBIENTES DE INFORMACAO","","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","5","4","4","",""
"2023/11/08 4:16:19 PM GMT-3","BIBLIOTECONOMIA","","","","","EDUCACAO DE USUARIOS","","3","3","3","3","2","4","4","2","2","3","3","3","2","2","4","4","4","3","4","3","3","2","3","2","2","2","4","4","3","2","2","2","3","3","2","4","4","2","4","4","4","3","3","",""
"2023/11/08 4:20:39 PM GMT-3","BIBLIOTECONOMIA","","","","","EDUCACAO DE USUARIOS","","3","4","3","3","3","3","3","3","2","2","3","1","2","2","4","3","4","2","4","2","2","2","2","3","3","3","3","4","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","",""
"2023/11/08 4:21:49 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","4","2","5","3","3","4","4","4","4","2","3","4","3","4","4","5","5","3","5","4","4","3","4","4","3","3","3","3","3","3","3","3","3","3","3","1","1","1","1","1","1","1","1","",""
"2023/11/08 4:32:20 PM GMT-3","BIBLIOTECONOMIA","","","","","SERVICO DE REFERENCIA E INFORMACAO","","4","4","4","5","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","5","4","3","","A obrigatoriedade da participação dos alunos nas aulas presenciais, porque o pólo Cametá em uma turma de 45 alunos nas aulas presenciais quando apareciam 10 alunos era muito. Então, seria crucial o posicionamento da coordenação do curso em relação a participação dos alunos."
"2023/11/08 4:36:50 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","Excelente curso e excelentes profissionais ","Nenhuma, tudo excelente "
"2023/11/08 4:43:14 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","Excelente curso e excelentes profissionais ","Nenhuma tudo certo "
"2023/11/08 4:49:28 PM GMT-3","BIBLIOTECONOMIA","","","","","EDUCACAO DE USUARIOS","","3","4","4","4","4","4","4","4","4","2","4","4","3","3","4","4","4","4","4","4","4","3","4","3","3","4","4","4","4","4","4","4","4","3","3","4","4","4","4","4","5","3","4","O ensino Ead, é muito importante as pessoas que não dispõe de tempo, para frequentar uma universidade, contribui bastante para aprimorar o conhecimento ao discente para ter uma oportunidade de conseguir uma graduação,  e ter uma melhor colocação profissional, a UFPA está de parabéns pela iniciativa.",""
"2023/11/08 4:53:16 PM GMT-3","LICENCIATURA INTEGRADA EM CIÊNCIAS, LINGUAGENS E MATEMÁTICA","","ESTUDOS TEORICO-PRATICOS DA ALFABETIZACAO EM LINGUA MATERNA III","","","","","2","2","2","2","2","3","2","2","2","3","2","2","3","1","3","2","3","2","2","3","2","3","2","2","2","3","3","3","2","3","2","3","3","3","1","2","2","2","2","2","2","2","2","",""
"2023/11/08 4:59:37 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","4","4","4","4","4","3","4","3","4","4","4","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","",""
"2023/11/08 5:04:54 PM GMT-3","BIBLIOTECONOMIA","","","","","PLANEJAMENTO DE AMBIENTES DE INFORMACAO","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","3","3","4","4","4","4","4","4","",""
"2023/11/08 5:06:14 PM GMT-3","BIBLIOTECONOMIA","","","","","PLANEJAMENTO DE AMBIENTES DE INFORMACAO","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","3","4","4","4","5","4","4","disciplina que enriqueceu meus conhecimentos, agora estou preparada em desenvolver excelente trabalhos pois através do planejamento que as coisas ficam melhor, principalmente em uma biblioteca para se ter um bom desenvolvimento ,para que fique bem vista na comunidade ter como exemplo de biblioteca viva.","mais aulas presenciais."
"2023/11/08 5:15:33 PM GMT-3","LICENCIATURA INTEGRADA EM CIÊNCIAS, LINGUAGENS E MATEMÁTICA","","ALFABETIZACAO E LETRAMENTO EM CIENCIAS E MATEMATICA V","","","","","2","2","2","2","2","3","2","2","2","3","2","2","3","2","2","2","3","2","3","3","3","3","3","2","2","2","3","3","2","2","3","3","3","3","2","2","3","3","3","3","3","3","3","",""
"2023/11/08 5:27:44 PM GMT-3","CIÊNCIAS BIOLÓGICAS","METODOLOGIA DO ENSINO DE CIÊNCIAS","","","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","5","5","4","4","3","4","4","4","4","4","4","3","3","4","4","4","4","3","3","3","3","3","4","5","4","3","Quanto as minhas reclamações posso dizer que são em função de como o aluno do curso em EAD é tratado em relação aos outros estudantes dos curso normais, pois, existe um grande preconceito sobre essa modalidade de ensino e sem falar na recusa de direitos que não temos a bolsas e outros benefícios que poderia nos ser concedidos principalmente aos discentes que não residem no local do polo e enfrenta todas as dificuldades para chegar ao referido pólo da instituição.","Que a coordenação e outros órgãos competentes tenha um olhar mais próximo de nossa realidade no ensino em EAD e que melhorias possam atender nossas expectativa em prol de condições que nos dê suporte para que sejamos cada vez melhor neste ensino ao qual somos sujeitos de um sistema autônomo de aprendizagem em busca do conhecimento e da formação profunde qualidade condizente com os princípios que norteiam a educação no Brasil."
"2023/11/08 5:52:24 PM GMT-3","CIÊNCIAS BIOLÓGICAS","METODOLOGIA DO ENSINO DE CIÊNCIAS","","","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","3","4","4","4","3","3","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","3","4","4","3","3","Na minha opinião até que os recursos de aprendizagem tem sido bom para nosso estudo o que falta mesmo são o reconhecimento do aluno em EAD. Pois, somos considerados e tratados com invisibilidade e diferença sendo que não possuímos direitos a nada como por exemplo, a bolsas que auxiliem os alunos que não residem no local do polo e que precisa se deslocar isso para mim é algo bem negativo não termos suporte como tem os demais alunos dessa instituição que fazem curso de modo regular. Espero que alguém dessa instituição veja essa situação e contribua igualmente sem preconceito.","Atender a necessidade do aluno em EAD de forma equitativa e sem preconceito e principalmente invisibilidade de direitos que deveria nos ser concedido igualmente sem distinção de modalidade e aprendizagem."
"2023/11/08 5:56:10 PM GMT-3","LICENCIATURA INTEGRADA EM CIÊNCIAS, LINGUAGENS E MATEMÁTICA","","INTRODUÇÃO A LIBRAS","","","","","2","2","2","2","2","3","2","2","2","3","2","2","3","2","3","2","3","2","2","3","3","3","3","2","3","2","3","3","2","3","3","2","3","3","2","3","3","3","2","3","3","3","3","",""
"2023/11/08 6:02:11 PM GMT-3","LETRAS LINGUA PORTUGUESA","","","OFICINA DE DIDATIZACAO DE GENEROS TEXTUAIS","","","","3","3","4","4","3","4","4","3","4","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","3","3","4","4","3","4","4","4","2","4","4","4","3","4","2","3","4","4","",""
"2023/11/08 6:22:30 PM GMT-3","CIÊNCIAS BIOLÓGICAS","SOCIEDADE E MEIO AMBIENTE","","","","","","4","4","5","4","4","4","4","4","4","4","4","4","3","4","4","5","5","5","5","4","4","4","4","4","4","4","4","4","4","3","4","4","4","3","4","4","4","4","4","1","3","3","4","Melhoria na infraestrutura do laboratório","Melhoria na internet do Polo Breves"
"2023/11/08 6:24:07 PM GMT-3","CIÊNCIAS BIOLÓGICAS","ANIMAIS PROTOSTÔMIOS ECDISOZOÁRIOS","","","","","","4","3","2","1","1","4","4","3","4","3","4","4","3","4","4","2","3","5","5","3","3","1","1","3","3","2","3","4","3","3","3","3","3","3","3","3","1","1","2","1","1","1","1","",""
"2023/11/08 6:30:50 PM GMT-3","CIÊNCIAS BIOLÓGICAS","ANIMAIS PROTOSTÔMIOS ECDISOZOÁRIOS","","","","","","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","3","4","4","4","3","4","",""
"2023/11/08 6:37:21 PM GMT-3","CIÊNCIAS BIOLÓGICAS","MORFOFISIOLOGIA VEGETAL","","","","","","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","2","4","3","4","",""
"2023/11/08 6:42:52 PM GMT-3","CIÊNCIAS BIOLÓGICAS","METODOLOGIA DO ENSINO DE CIÊNCIAS","","","","","","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","2","3","3","4","",""
"2023/11/08 6:49:33 PM GMT-3","CIÊNCIAS BIOLÓGICAS","SOCIEDADE E MEIO AMBIENTE","","","","","","4","3","2","2","3","3","4","3","3","3","4","3","3","2","2","1","3","5","5","2","2","1","2","2","2","2","1","2","2","2","2","2","2","1","2","1","1","1","2","1","1","1","2","","Precisamos de professores q estejam disponíveis ao  esclarecimentos das disciplinas e principalmente tutores capacitados para nos explicar com clareza "
"2023/11/08 6:55:45 PM GMT-3","LICENCIATURA INTEGRADA EM CIÊNCIAS, LINGUAGENS E MATEMÁTICA","","LINGUAGEM E CONHECIMENTO IV","","","","","2","2","3","2","3","3","2","2","2","3","2","2","3","2","3","3","3","2","2","2","2","3","3","2","3","3","3","3","3","3","3","3","3","3","2","3","3","3","2","2","3","3","2","",""
"2023/11/08 6:59:54 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","4","3","4","5","3","4","4","4","3","2","4","4","4","4","4","4","4","5","5","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","3","3","1","4","2","1","5","3","1","",""
"2023/11/08 7:03:30 PM GMT-3","CIÊNCIAS BIOLÓGICAS","METODOLOGIA DO ENSINO DE CIÊNCIAS","","","","","","2","2","2","5","3","1","1","2","2","3","3","3","3","2","3","1","2","5","5","2","1","1","1","1","2","2","2","2","2","2","1","1","2","2","1","1","1","1","1","1","5","1","2","",""
"2023/11/08 7:09:59 PM GMT-3","LICENCIATURA INTEGRADA EM CIÊNCIAS, LINGUAGENS E MATEMÁTICA","","PESQUISA ORIENTADA NO AMBIENTE ESCOLAR E COMUNITÁRIO I","","","","","2","2","2","2","2","3","2","2","2","3","2","2","3","2","2","3","3","2","2","2","3","3","2","2","2","3","3","3","2","3","3","2","3","3","2","3","3","3","2","3","3","3","3","",""
"2023/11/08 7:17:10 PM GMT-3","LETRAS LINGUA PORTUGUESA","","","OFICINA DE DIDATIZACAO DE GENEROS TEXTUAIS","","","","4","4","5","5","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","Tudo ótimo.","Está tudo ótimo."
"2023/11/08 7:18:55 PM GMT-3","LICENCIATURA INTEGRADA EM CIÊNCIAS, LINGUAGENS E MATEMÁTICA","","LINGUAGEM E CONHECIMENTO IV","","","","","4","4","4","3","3","4","4","4","3","3","3","4","3","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","3","4","3","4","4","4","4","4","3","",""
"2023/11/08 7:21:32 PM GMT-3","CIÊNCIAS BIOLÓGICAS","METODOLOGIA DO ENSINO DE CIÊNCIAS","","","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","4","3","4","4","4","3","Na minha opinião essa disciplina é suma relevância para nossa formação profissional mas outro lado vejo que ainda há muita resistência é reconhecer o ensino em EAD como sendo uma modalidade de educação capaz de formar bons ou excelentes profissionais, esse é mito que continua permeando no espaço educacional de nossa grandiosa instituição, tanto é que somos visto com visibilidade sem direito por exemplo, a uma bolsa que possa nos dar suporte de locomoção quando não residimos no local de funcionamento do curso. Espero que sejamos reconhecido e visto com primor e mais oportunidades.","Acreditar que a modalidade da educação em EAD não nos torna inferior e oferecer oportunidades que possibilite que sejamos capazes de termos uma formação profissional sem preconceito e distanciamento de outras construções educacionais como por exemplo, do aluno que faz um curso normal."
"2023/11/08 7:21:35 PM GMT-3","LETRAS LINGUA PORTUGUESA","","","FONETICA E FONOLOGIA","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","Tudo ótimo ","Tudo ótimo "
"2023/11/08 7:23:49 PM GMT-3","LETRAS LINGUA PORTUGUESA","","","ENSINO/APRENDIZAGEM DO PORTUGUES I","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","Tudo ótimo ","Tudo ótimo "
"2023/11/08 7:27:47 PM GMT-3","LICENCIATURA INTEGRADA EM CIÊNCIAS, LINGUAGENS E MATEMÁTICA","","COMPREENSAO E EXPLICACAO DOS PROCESSOS DE DESENVOLVIMENTO E DA APRENDIZAGEM I","","","","","2","2","2","2","2","3","2","2","2","3","2","2","3","2","2","2","3","2","2","2","2","3","3","2","2","3","2","3","3","3","3","2","2","3","2","3","3","3","3","3","3","3","2","",""
"2023/11/08 7:27:53 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","4","2","4","5","2","4","4","4","3","4","4","4","3","3","4","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","2","4","2","1","1","4","3","","Internet de boa qualidade para os estudantes."
"2023/11/08 7:34:53 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","2","1","4","5","3","4","3","2","3","4","4","4","3","1","2","4","4","5","5","4","2","2","3","3","3","3","4","3","2","1","3","3","3","1","2","3","1","3","2","1","5","3","2","","Sugiro que o professor coordenador dê mais atenção aos discentes em relação a dúvidas, que o material seja mais elaborado e que o tutor esteja mais disponível para dar aulas presenciais porque essa troca de experiências em sala de aula é fundamental para uma boa aprendizagem."
"2023/11/08 7:37:30 PM GMT-3","BIBLIOTECONOMIA","","","","","EDUCACAO DE USUARIOS","","2","1","1","1","2","2","3","3","3","4","4","4","3","2","2","1","3","1","4","4","4","2","2","3","3","3","4","4","2","1","2","3","4","4","1","4","1","3","4","1","1","3","4","Seria Importante um tempo maior para a realização das Atividades.","Computadores disponíveis aos discentes desse curso!"
"2023/11/08 7:37:34 PM GMT-3","CIÊNCIAS BIOLÓGICAS","SOCIEDADE E MEIO AMBIENTE","","","","","","4","4","5","5","4","4","4","4","4","4","4","4","4","3","4","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","Com base no meu conceito ao meu curso e tutoria juntamente com a coordenação está excelente estão todos de parabéns.",""
"2023/11/08 7:43:34 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","",""
"2023/11/08 7:45:10 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","3","2","3","5","2","4","4","2","3","4","3","4","2","1","2","3","3","5","5","4","3","4","3","2","2","2","2","4","3","2","4","4","4","1","2","3","2","3","2","2","2","4","2","","A disponibilidade do professor coordenador tem que ser maior, em relação as dúvidas da disciplina. E o tutor precisa estar mais disponível em aulas presenciais aos sábados."
"2023/11/08 7:45:56 PM GMT-3","BIBLIOTECONOMIA","","","","","PLANEJAMENTO DE AMBIENTES DE INFORMACAO","","3","2","2","2","2","3","3","3","4","4","3","3","4","1","2","2","2","2","2","4","3","2","3","3","3","4","3","4","2","3","2","2","3","3","2","2","1","1","3","2","2","2","2","Sem comentários","Tempo maior para a entrega das atividades."
"2023/11/08 7:48:12 PM GMT-3","CIÊNCIAS BIOLÓGICAS","SOCIEDADE E MEIO AMBIENTE","","","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","4","3","4","4","3","3","Uma disciplina muito importante para nossa construção formativa e cidadã já que trata de tema relacionado ao meio ambiente.","Permanecer oferecendo oportunidades para que possamos continuar explorar o conhecimento de forma relevante a nossa formação."
"2023/11/08 7:48:30 PM GMT-3","LICENCIATURA INTEGRADA EM CIÊNCIAS, LINGUAGENS E MATEMÁTICA","","ESTUDOS TEORICO-PRATICOS DA ALFABETIZACAO EM LINGUA MATERNA III","","","","","2","2","2","2","3","3","2","2","2","3","2","2","3","2","2","2","3","2","2","2","2","3","2","2","2","3","3","3","2","2","2","2","3","3","2","3","2","2","2","3","3","3","3","",""
"2023/11/08 7:49:39 PM GMT-3","CIÊNCIAS BIOLÓGICAS","MORFOFISIOLOGIA VEGETAL","","","","","","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","Com base nós meus conhecimentos ao meu curso a tutoria em geral está de parabéns pelo empenho,e dedicação pro nos proporciona conhecimento incríveis.",""
"2023/11/08 7:50:41 PM GMT-3","LETRAS LINGUA PORTUGUESA","","","ENSINO/APRENDIZAGEM DO PORTUGUES I","","","","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","Disciplina excelente, professores e tutores ótimos. ","Maior participação dos professores em aulas síncronas, comentários mais precisos em nossas atividades, melhor feedback. "
"2023/11/08 7:52:04 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","1","3","4","3","3","3","3","",""
"2023/11/08 7:52:17 PM GMT-3","BIBLIOTECONOMIA","","","","","EDUCACAO DE USUARIOS","","2","3","3","3","3","3","3","2","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","3","3","3","3","3","3","4","4","3","3","4","4","4","3","3","A instituição tem instruturas adequadas e atende às necessidades dos docentes, salas são climatizadas fornecer Internet via wifi, as bibliotecas são padronizadas, a bibliotecária são muito qualificadas.",""
"2023/11/08 7:56:49 PM GMT-3","LETRAS LINGUA PORTUGUESA","","","FONETICA E FONOLOGIA","","","","3","4","4","4","4","4","3","2","2","3","3","3","2","2","3","4","4","4","4","4","2","2","1","1","2","2","2","2","3","2","3","2","2","1","2","3","2","3","3","2","3","3","3","Gosto do estudo a distância só que precisa melhorar mais algumas coisas. ","Os professores estarem mais disponíveis para responder as plataformas e está esclarecendo as dúvidas dos alunos. "
"2023/11/08 7:57:01 PM GMT-3","BIBLIOTECONOMIA","","","","","PLANEJAMENTO DE AMBIENTES DE INFORMACAO","","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","5","4","4","",""
"2023/11/08 8:01:11 PM GMT-3","BIBLIOTECONOMIA","","","","","PLANEJAMENTO DE AMBIENTES DE INFORMACAO","","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","",""
"2023/11/08 8:06:14 PM GMT-3","BIBLIOTECONOMIA","","","","","EDUCACAO DE USUARIOS","","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","",""
"2023/11/08 8:18:07 PM GMT-3","LETRAS LINGUA PORTUGUESA","","","ENSINO/APRENDIZAGEM DO PORTUGUES I","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","",""
"2023/11/08 8:23:14 PM GMT-3","LETRAS LINGUA PORTUGUESA","","","FONETICA E FONOLOGIA","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","",""
"2023/11/08 8:26:25 PM GMT-3","LETRAS LINGUA PORTUGUESA","","","OFICINA DE DIDATIZACAO DE GENEROS TEXTUAIS","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","",""
"2023/11/08 8:28:43 PM GMT-3","LICENCIATURA INTEGRADA EM CIÊNCIAS, LINGUAGENS E MATEMÁTICA","","ESTUDOS TEORICO-PRATICOS DA ALFABETIZACAO EM LINGUA MATERNA III","","","","","4","4","3","5","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","",""
"2023/11/08 8:31:47 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","2","2","2","3","Os tutores e coordenador da EaD são excelentes ","Acho que deveria melhorar o sistema dê tecnologias "
