"Carimbo de data/hora","Qual é o seu Curso?","Selecione para qual disciplina você vai responder o questionário ","Selecione para qual disciplina você vai responder o questionário","Selecione para qual disciplina você vai responder o questionário ","Selecione para qual disciplina você vai responder o questionário ","Selecione para qual disciplina você vai responder o questionário ","Selecione para qual disciplina você vai responder o questionário ","1)      Organizei meus estudos com base no plano de ensino (programação) da(o) disciplina/tema/módulo ","2)      Mantive um relacionamento cordial com o(a) professor (a) coordenador (a) da disciplina ","3)      Mantive um relacionamento cordial com o (a) tutor (a) presencial ","4)      Mantive um relacionamento cordial com o (a) tutor (a) a distância","5)      Mantive um relacionamento cordial com o (a) coordenador (a) do polo","6)      Frequentei as atividades presenciais conforme programado","7)      Participei das atividades a distância conforme programado","8)      Compreendi os conteúdos ministrados na(o) disciplina/tema/módulo ","9)      Estive motivado/a ao longo da oferta da(o) disciplina/tema/módulo","10)      Aprofundei meus conhecimentos, de maneira autônoma, consultando outras fontes","11)      Realizei as atividades da disciplina/tema/módulo, atendendo aos prazos estabelecidos ","12)      Realizei as atividades da disciplina/tema/módulo observando os critérios estabelecidos ","13)      Dediquei horas de estudo à disciplina ao longo da semana ","14) O(A) professor(a)/coordenador(a) da(o) disciplina/tema/módulo mostrou-se disponível para me atender e orientar ","15)      O(A) professor(a)/coordenador(a) da(o) disciplina/tema/módulo me tratou com ética e respeito","16)      O(A) tutor(a) presencial mostrou-se disponível para me atender e orientar ","17)      O(A) tutor(a) presencial me tratou com ética e respeito ","18)      O(A) tutor(a) a distância mostrou-se disponível para me atender e orientar","19)      O(A) tutor(a) a distância me tratou com ética e respeito","20)      Tive acesso ao plano de ensino (programação) da(o) disciplina/tema/módulo ","21)      O plano de ensino (programação) da(o) disciplina/tema/módulo foi cumprido","22)      As atividades de tutoria realizadas contemplaram as necessidades da turma","23)      As atividades de tutoria foram executadas conforme o planejado","24)      Os conteúdos da(o) disciplina/tema/módulo foram ministrados com clareza e objetividade","25)      Os conceitos/conteúdos foram apresentados de forma contextualizada","26)      Fui estimulado a desenvolver o pensamento crítico","27)      Foram utilizados recursos diversos (vídeos, materiais complementares, webconferências, etc.) durante a oferta da(o) disciplina/tema/módulo","28) Esta disciplina contribuiu com minha formação cidadã e profissional ","29)      A interação com professores e colegas foi favorecida/estimulada","30)      O material didático fornecido para estudo da(o) disciplina/tema/módulo foi adequado","31)      O processo avaliativo da(o) disciplina/tema/módulo foi explicado aos discentes de forma clara e objetiva","32)      A avaliação da aprendizagem foi realizada com critérios bem definidos","33)      A avaliação da aprendizagem foi realizada de acordo com os conteúdos trabalhados","34)      Foram utilizados diferentes instrumentos/estratégias de avaliação (provas, seminários, produção textual, etc.)","35)      Os(As) instrumentos/estratégias de avaliação foram adequados(as), acessíveis aos discentes e os prazos/tempo foram suficientes","36)      As salas reservadas às atividades presenciais e seu mobiliário estavam em condições adequadas de uso","37)      A infraestrutura das bibliotecas atendeu adequadamente às necessidades discentes (sala de estudos, acervo, atendimento, etc.)","38)      Os recursos audiovisuais atenderam às necessidades do ensino no âmbito da(o) disciplina/tema/módulo","39)      O ambiente virtual de aprendizagem utilizado (Moodle/SIGAA) atendeu às necessidades dos discentes","40)      Os recursos de informática dos laboratórios, nos polos, atenderam às necessidades discentes","41)      O laboratório de atividades práticas estava adequado às atividades desenvolvidas","42)      As instalações físicas do polo (banheiros, espaços de convivência, espaço para alimentação, etc.) atendem às necessidades dos discentes","43) A acessibilidade nos espaços utilizados, incluindo o ambiente virtual, é adequada","Comentários Gerais (máximo 600 caracteres)","Sugestões de Melhoria (Máximo 600 caracteres)"
"2023/11/06 12:02:41 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","4","4","5","4","2","4","4","4","4","4","4","4","4","4","4","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","2","2","3","3","3","3","3","",""
"2023/11/06 12:05:23 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","4","4","4","4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","3","3","3","3","3","",""
"2023/11/06 12:07:38 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","",""
"2023/11/06 12:10:59 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","3","4","5","4","4","4","4","4","3","4","4","4","4","4","4","5","5","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","3","3","4","2","5","3","3","",""
"2023/11/06 12:14:14 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","4","4","4","4","4","3","4","4","4","4","4","4","3","4","4","4","4","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","4","3","5","3","4","",""
"2023/11/06 12:55:13 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","4","4","4","4","2","4","4","4","4","4","4","4","4","3","3","4","5","4","4","4","4","4","4","4","4","4","4","4","3","2","4","4","4","4","4","2","2","3","3","1","2","1","2","",""
"2023/11/06 1:03:46 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","2","2","2","1","2","3","4","2","3","4","4","4","3","2","3","1","4","1","4","4","1","1","1","1","2","3","1","2","2","1","2","2","3","2","1","2","2","2","3","3","5","3","2","",""
"2023/11/06 1:46:59 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","4","4","5","5","4","3","4","4","4","4","3","4","3","4","4","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","5","4","4","A tutora Rosiane está sempre disposta a ajudar o aluno a compreender e aprender sobre a disciplina, uma grande incentivadora a prosperar no caminho rumo à formatura.
",""
"2023/11/06 1:47:41 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","2","4","5","2","4","4","4","2","3","4","3","3","3","2","4","5","5","3","4","4","3","2","2","2","3","3","4","3","4","3","3","2","3","2","2","4","2","4","4","3","3","4","2","",""
"2023/11/06 1:47:44 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","4","4","3","4","4","4","4","3","3","3","3","1","1","5","3","3","Tutora e Professora da disciplina são excelentes.","Seria interessante um maior interação da professora da disciplina com os alunos, é compreensível a situação por ser em ead, logo esse vínculo é importante."
"2023/11/06 1:52:10 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","4","3","3","1","3","3","3","1","3","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3","3","3","1","4","4","4","3","3","3","3","3","1","3","3","3","3","1","1","3","",""
"2023/11/06 1:54:29 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","3","3","4","3","3","",""
"2023/11/06 1:55:22 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","4","4","4","4","4","4","4","2","3","4","4","4","4","1","3","4","4","4","4","4","3","3","4","3","1","4","4","4","4","1","4","3","3","3","3","4","4","3","1","1","5","3","3","Tutora sempre esforçada, já o professor da turma não dá nenhum auxílio, não responde as dúvidas e não auxilia na evolução da disciplina.",""
"2023/11/06 2:05:28 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","3","3","3","3","3","2","3","3","2","3","3","2","2","3","2","3","5","4","5","3","2","3","3","2","3","3","1","3","4","2","4","3","3","2","3","2","3","1","3","3","4","4","3","",""
"2023/11/06 2:06:31 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","3","3","3","4","4","4","4","3","3","3","4","3","2","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","2","3","3","3","3","Precisamos apenas ficar atualizados das notas das provas anteriores ","Mais disponibilidades de aulas para melhor interação com a diaciplina"
"2023/11/06 2:09:05 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","2","3","4","4","3","2","3","3","3","3","3","3","3","2","3","4","4","4","4","2","3","3","3","3","3","3","3","3","3","1","3","3","3","3","3","2","3","3","3","1","1","1","1","No meu ponto de vista, o que precisa mudar é  a troca do livro didático além de ter um tutorial presencial e mais parceria com o coordenador da disciplina para nos ajudar no rendimento educacional ","Ademais precisamos ser tratados com respeito na UAB, pois tem uma servidira que  não nos tratam muito bem."
"2023/11/06 2:14:29 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","3","4","4","4","4","4","4","2","2","3","3","3","2","3","4","4","4","4","4","4","3","3","3","3","3","3","4","4","3","3","4","3","3","3","2","3","3","3","2","3","5","3","3","Disponibilidade das notas das provas anteriores ","Mais disponibilidades de aulas durante a semana "
"2023/11/06 2:20:59 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","3","4","4","4","4","3","3","4","4","4","4","4","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","2","3","5","3","3","Excelente tutoria ","Disponibilizar algumas aulas online"
"2023/11/06 2:21:29 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","4","3","4","4","4","4","4","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","2","2","2","2","2","","com relação ao espaço físico creio que o mesmo deve ser mais adequado no que diz espeito a acessibilidade, embora na turma não tenha aluno com necessidades especiais, mas é necessário que seja oferecida a referida acessibilidade, os serviços de internet também precisam melhorar."
"2023/11/06 2:24:54 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","3","3","5","4","4","3","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","3","3","3","5","4","4","",""
"2023/11/06 2:29:09 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","3","2","2","2","4","3","2","2","2","4","4","4","4","2","3","2","3","2","3","3","2","2","2","2","2","2","3","3","2","3","4","3","3","3","3","4","2","3","3","3","5","4","4","",""
"2023/11/06 2:33:30 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","3","3","4","4","4","4","3","3","4","3","3","3","3","3","3","4","4","4","4","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2","3","2","",""
"2023/11/06 2:47:58 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","3","3","4","4","1","3","3","3","3","3","3","3","3","2","3","5","5","4","4","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","4","4","3","3","4","5","4","3","No meu ponto de vista, a tutora a distância é excelente, mas que a coordenadora da disciplina tem que ser mais presente no nosso grupo de WhatsApp e além disso sugiro que haja a troca da aula de sábado para outro dia, pois nós que moramos distante da UAB, não conseguimos chegar a tempo para participar da aula de Fundamentos da Educação, gerando a perda de parte da aula.","Solicito a troca do material didático."
"2023/11/06 2:51:40 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","3","3","4","3","4","4","3","2","4","3","4","4","2","3","4","4","4","4","4","4","4","4","4","4","3","3","3","4","3","3","4","4","4","4","4","3","2","3","4","1","1","1","3","O curso a metodologia que está sendo trabalhado está de parabéns.","O espaço fisico do polo precisa de melhorias urgentes(Banheiros destioarados, salas sujas, bebedouros ruins, computadores precisam de manutenção, internet ruim."
"2023/11/06 2:58:37 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","4","3","2","3","4","4","4","4","4","4","4","4","3","4","4","5","5","4","4","4","4","4","4","4","4","4","3","4","3","4","4","4","4","4","4","3","2","2","3","1","2","1","3","",""
"2023/11/06 3:40:22 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","4","2","3","3","3","3","4","4","2","3","3","3","3","4","4","4","4","4","4","3","3","3","3","4","3","3","3","4","4","3","3","3","3","2","2","2","3","2","3","3","3","2","2","
",""
"2023/11/06 3:52:19 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","3","3","3","3","3","2","3","2","3","2","3","3","3","3","3","4","4","4","4","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","4","4","4","4","4","4","4","4","",""
"2023/11/06 3:54:31 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","1","2","2","2","2","4","1","4","4","3","1","1","2","2","1","2","1","4","2","1","3","4","3","4","4","3","4","2","1","4","4","4","4","2","3","1","1","1","3","1","1","1","2","Nas primeiras disciplinas, com as aulas gravadas da prof Claudia me auxiliando, eu consegui um excelente desempenho nas atividades e provas. Hoje meu desempenho está muito inferior devido minha impossibilidade de estar nas aulas presenciais devido o trabalho. Gostaria muito que voltasse ao formato de ao menos uma revisão gravada para que todos tivessem acesso. Me ajudaria bastante no meu processo. Pois só sou liberada para fazer as provas mesmo no meu trabalho e não queria de jeito nenhum desistir do curso. Porém estou tendo muita dificuldade desde Geometria I até aqui.","Ao menos uma aula gravada por semana para que ajudasse aos alunos que não podem estar presencialmente no pólo."
"2023/11/06 3:59:05 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","4","4","4","4","4","3","4","4","4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","",""
"2023/11/06 4:15:24 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","3","4","4","4","4","3","4","3","4","3","4","4","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","4","2","2","5","3","3","",""
"2023/11/06 4:23:49 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","3","4","4","4","4","3","4","3","3","3","4","4","3","3","4","3","4","4","4","3","3","3","3","3","3","3","3","3","4","3","4","4","3","3","3","3","3","3","3","3","5","3","3","",""
"2023/11/06 5:17:44 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","4","3","5","4","4","4","4","3","3","2","4","3","4","4","4","5","5","4","4","4","4","3","4","4","4","3","4","4","4","3","4","3","4","4","4","3","2","3","4","1","2","1","3","","melhorias no acesso a internet no polo, pois  tem dias que nao conseguimos acessar as aulas online por falta de conexao "
"2023/11/06 5:21:14 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","1","1","3","4","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"2023/11/06 5:26:17 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","2","1","2","3","1","1","1","1","1","1","2","1","1","1","4","1","5","5","5","2","3","3","3","3","3","3","4","4","2","1","1","1","1","3","1","1","1","1","1","1","1","1","1","A compreensão do professor em relação aos educandos em relação a prova. ","Correções das avaliações com mais eficiência, pois o professor não ajuda em nada o aluno ou seja reprovou eles não Fazem nada para ajudar o aluno."
"2023/11/06 5:32:45 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","3","4","4","5","3","4","4","4","4","4","4","4","4","4","4","4","4","5","5","4","4","3","3","4","4","4","4","4","4","3","4","4","4","4","4","3","1","2","4","1","5","2","4","",""
"2023/11/06 5:35:55 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","2","2","4","5","2","2","3","3","2","2","2","2","2","2","2","4","4","5","5","4","2","2","3","3","3","3","4","3","4","3","4","4","4","4","3","4","3","3","2","1","5","4","4","",""
